2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,370 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,371 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,371 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,372 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,372 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,373 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,373 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,373 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,373 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,373 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,373 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,374 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,374 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,374 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,374 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,376 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,377 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,377 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,377 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,378 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,379 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,379 | INFO | finance_tab | Провайдер данных обновлён и данные перезагружены
2025-09-23 18:20:06,381 | INFO | info_tab | Загружены данные вкладки 'Информация' из /Users/lunia/Desktop/ТЕС3/data/project_19_info.json
2025-09-23 18:20:06,438 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,438 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
2025-09-23 18:20:06,438 | INFO | finance_tab | compute_internal_discount: equip_sum=20000.00, real=300000.00, client_discount=0.00, commission=0.00, internal=300000.00
2025-09-23 18:20:06,439 | INFO | finance_tab | compute_internal_discount: equip_sum=118950.00, real=50000.00, client_discount=0.00, commission=0.00, internal=50000.00
2025-09-23 18:20:06,439 | INFO | finance_tab | compute_internal_discount: equip_sum=762000.00, real=152400.00, client_discount=0.00, commission=76200.00, internal=76200.00
2025-09-23 18:20:06,440 | INFO | finance_tab | compute_internal_discount: equip_sum=934380.00, real=373752.00, client_discount=0.00, commission=93438.00, internal=280314.00
2025-09-23 18:20:06,440 | INFO | finance_tab | compute_internal_discount: equip_sum=706575.00, real=211972.50, client_discount=0.00, commission=70657.50, internal=141315.00
